Expediente,Fecha,Nombre,Link
CFP 14036/2010,24/10/2013,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=385561&tipo=corrupcion-administrativa
CFP 10622/2010,29/12/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4900394&tipo=corrupcion-administrativa
CFP 10622/2010,25/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4712761&tipo=corrupcion-administrativa
CFP 10622/2010,05/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4654291&tipo=corrupcion-administrativa
CFP 10622/2010,05/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4654343&tipo=corrupcion-administrativa
CFP 10622/2010,05/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4654341&tipo=corrupcion-administrativa
CFP 10622/2010,19/04/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4153664&tipo=corrupcion-administrativa
CFP 10622/2010,31/03/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4093263&tipo=corrupcion-administrativa
CFP 10622/2010,23/02/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3968017&tipo=corrupcion-administrativa
CFP 10622/2010,29/12/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=3896385&tipo=corrupcion-administrativa
CFP 10622/2010,10/07/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=992659&tipo=corrupcion-administrativa
CFP 8425/2010,17/08/2017,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=5644622&tipo=corrupcion-administrativa
CFP 8390/2010,15/09/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4588009&tipo=corrupcion-administrativa
CFP 8390/2010,13/03/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=478837&tipo=corrupcion-administrativa
CFP 7904/2010,22/04/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=493039&tipo=corrupcion-administrativa
CFP 7797/2010,15/11/2018,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 3,scp/include/showFile.php?acc=showFAR&id=7553581&tipo=corrupcion-administrativa
CFP 7041/2010,02/10/2025,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=14036482&tipo=corrupcion-administrativa
CFP 7041/2010,15/07/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=9997840&tipo=corrupcion-administrativa
CFP 7041/2010,24/06/2021,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=9945849&tipo=corrupcion-administrativa
CFP 6270/2010,06/08/2018,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=6965263&tipo=corrupcion-administrativa
CFP 4960/2010,17/10/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=5864873&tipo=corrupcion-administrativa
CFP 4813/2010,04/10/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=4649675&tipo=corrupcion-administrativa
CFP 4813/2010,26/02/2015,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=1931659&tipo=corrupcion-administrativa
CFP 4723/2010,25/10/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=5897514&tipo=corrupcion-administrativa
CFP 4723/2010,19/06/2017,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=5436871&tipo=corrupcion-administrativa
CFP 4723/2010,09/09/2016,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=4569001&tipo=corrupcion-administrativa
CFP 4116/2010,28/06/2019,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8299158&tipo=corrupcion-administrativa
CFP 2732/2010,03/06/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=557613&tipo=corrupcion-administrativa
CFP 2732/2010,13/05/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=519879&tipo=corrupcion-administrativa
CFP 2732/2010,30/04/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=500915&tipo=corrupcion-administrativa
CFP 2732/2010,23/04/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,scp/include/showFile.php?acc=showFAR&id=493932&tipo=corrupcion-administrativa
CFP 2659/2010,18/11/2014,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=1791663&tipo=corrupcion-administrativa
CFP 2659/2010,16/09/2013,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SECRETARIA ESPECIAL,scp/include/showFile.php?acc=showFAR&id=376445&tipo=corrupcion-administrativa
CFP 2111/2010,26/09/2019,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 8,scp/include/showFile.php?acc=showFAR&id=8629064&tipo=corrupcion-administrativa
CFP 2111/2010,25/04/2018,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 4,scp/include/showFile.php?acc=showFAR&id=6522389&tipo=corrupcion-administrativa
CFP 2111/2010,06/03/2018,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 4,scp/include/showFile.php?acc=showFAR&id=6275698&tipo=corrupcion-administrativa
CFP 2111/2010,03/11/2017,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 4,scp/include/showFile.php?acc=showFAR&id=5930754&tipo=corrupcion-administrativa
CFP 2111/2010,26/10/2017,TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 4,scp/include/showFile.php?acc=showFAR&id=5901220&tipo=corrupcion-administrativa
