numero_expediente,fecha,nombre,link
CFP 13816/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272713&tipo=corrupcion-administrativa
CFP 13816/2018,2020-07-27,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9272915&tipo=corrupcion-administrativa
CFP 13816/2018,2020-06-18,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9200126&tipo=corrupcion-administrativa
CFP 13816/2018,2020-02-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9050037&tipo=corrupcion-administrativa
CFP 13816/2018,2020-02-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=9052723&tipo=corrupcion-administrativa
CFP 13816/2018,2019-12-13,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8913305&tipo=corrupcion-administrativa
CFP 13816/2018,2019-12-05,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8882228&tipo=corrupcion-administrativa
CFP 13816/2018,2019-12-04,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8875052&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-28,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8854799&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8827653&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8840768&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-21,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8825698&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-11,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8795941&tipo=corrupcion-administrativa
CFP 13816/2018,2019-11-11,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8795898&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747528&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747566&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747355&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747321&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747628&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747415&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747605&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747511&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-29,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8747458&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702273&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702686&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702463&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702337&tipo=corrupcion-administrativa
CFP 13816/2018,2019-10-17,CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1,scp/include/showFile.php?acc=showFAR&id=8702182&tipo=corrupcion-administrativa
